0,1,2,3,4,5,6,7,8,9,10,11
66660.4398,75505.2443,68924.41139,64224.48289,54698.9667,67094.88196,65640.42395,65896.02574,67116.48041,57624.67969,52593.24219,60994.48949
65128.6712,65565.7097,50143.56202,70883.2688,63899.84224,66928.31432,65583.09409,66257.59351,67873.20791,68406.14844,71168.32031,67904.58057
72427.132,78720.2246,54769.04013,76490.57004,67646.19172,75232.01336,77803.3292,75324.34136,76018.9441,74656.38281,74555.05469,77673.91374
70327.5896,73667.9638,46450.58174,61683.00732,65120.42856,67909.95933,65744.817,59554.90077,65898.74259,61721.70313,59151.60938,65320.19287
60914.972,52427.4724,56823.60457,48936.2252,51683.56818,50810.30138,50950.92575,56292.90666,49305.86002,48479.65625,47490.07031,51745.52763
63147.1691,70741.6086,65255.80424,74519.74514,66108.2021,71565.32234,75130.46468,74833.90776,74981.428,67946.375,65404.88672,67905.13083
66082.07,68738.3627,60386.59484,71341.2799,71457.07158,69503.43952,71084.23151,70719.20632,68894.54483,72057.13281,68458.14844,68447.32869
70593.4675,71254.782,57516.88467,74882.71591,71957.74354,69870.46136,74451.11604,74833.90776,74090.19527,76282.72656,75180.97656,73227.5177
73638.8226,63071.4637,42967.93252,76758.48756,71236.22972,76916.36863,77642.30647,77419.04247,76686.99781,80693.51563,81003.61719,78528.28433
74286.4692,82647.2441,50305.14683,81468.51499,78111.26688,83373.1749,81220.82204,80388.87497,81731.84867,86374.75,82550.16406,82808.07009
72024.9768,62582.5814,67882.68584,67864.37236,71083.84446,67519.81069,66828.44809,65896.02574,67407.90649,67372.85156,66337.3125,66475.21278
66735.6422,60425.0457,63444.06837,64460.43322,71637.1334,65378.26834,63737.35384,61302.6939,64868.10698,63164.05469,62849.8125,64701.98551
57983.7002,48265.8203,66645.97526,46292.38498,56246.44818,52974.71773,53469.65625,56584.25966,54554.80715,47330.23828,42928.45313,49202.86938
54081.8762,46021.1006,68837.75138,38509.07447,49541.5585,47721.66259,47182.98339,54921.07037,47956.97431,45172.77734,38071.02734,45243.93375
52037.7049,47158.2467,69902.04465,41225.50511,46992.24884,47754.43082,47021.20007,55830.70489,47961.05078,45915.77344,44990.49609,47119.24007
70086.3479,50258.9482,55298.02729,58346.07031,55495.12928,60866.19497,57114.41478,57378.03441,57201.63843,55167.03125,54826.20703,57333.5826
52342.299,63071.4637,65634.03908,70253.84449,64028.3164,70316.19102,72861.63123,75324.34136,73104.55251,70119.64063,68987.52344,70865.66426
63595.2449,68419.8037,74522.10651,64917.29081,69175.55382,68463.67433,66556.9034,65896.02574,66352.89347,64245.80469,63229.29688,64323.13272
63877.2789,58814.6803,53482.68059,58770.07972,71295.9033,57379.35042,57888.07406,57375.25749,57534.53292,60297.85547,59557.39453,61159.57531
64709.2732,59701.4587,33411.86084,67079.95976,65919.11044,65126.84856,64726.94896,64390.62613,65384.55725,65668.42969,65376.31641,65083.39444
