0,1,2,3,4,5,6,7,8,9,10
2502.8603,2731.69,2451.938182,2576.315649,2519.4536,2611.29988,2498.818377,2544.898681,2497.624562,2519.283691,2560.481689
2584.4821,2412.8106,2486.009908,2626.669136,2457.0077,2584.08215,2528.790731,2545.684984,2618.779946,2458.210938,2574.914307
2622.2645,2636.5774,2483.021211,2687.831406,2589.22654,2599.81844,2586.124467,2532.188371,2606.683159,2602.471191,2621.605225
2490.0805,2636.5774,2453.262917,2446.524236,2417.82296,2521.1982,2563.805217,2486.705049,2510.324165,2431.648438,2471.757813
2622.6747,2939.9781,2507.407455,2685.15314,2530.28636,2661.27624,2618.719686,2666.579378,2813.754308,2614.708984,2700.789307
2860.1203,2561.5641,2389.090747,2664.493239,2491.1236,2610.57954,2574.280818,2585.004827,2615.279562,2591.958984,2788.533691
3074.133,2563.8486,2504.740438,2515.067492,2550.5497,2603.34447,2530.805599,2537.304647,2434.475036,2764.617432,3024.009766
2954.6605,2724.21,2353.103564,2607.118721,2482.95682,2601.39237,2570.994101,2469.020729,2516.041333,2679.872314,2853.352295
3117.1327,2245.79,2403.601424,2722.139082,2459.76832,2569.8021,2561.507993,2579.599978,2650.647497,2598.434814,2834.090332
3301.8188,2629.7719,2529.188093,2693.123054,2549.40486,2596.99236,2561.930183,2585.004827,2656.286629,2789.868652,3022.53833
3000.794,2413.61,2568.763465,2459.791017,2594.50516,2676.45583,2586.061962,2614.10473,2682.825947,2477.385742,2763.755371
2924.2406,2389.6114,2656.681444,2457.695164,2465.04398,2584.43606,2563.691505,2598.643605,2610.536645,2358.669434,2825.683105
2943.8413,2939.9781,2726.632151,2521.097442,2610.7211,2674.5877,2692.076992,2642.687448,2772.954826,2330.707764,2757.729736
2814.0135,2594.1125,2677.502892,2495.285543,2508.2083,2592.34287,2592.499518,2556.23738,2698.42037,2404.63501,2666.134766
2840.7643,2870.5879,2610.371269,2636.354892,2551.46352,2621.94141,2666.835934,2629.281252,2719.331389,2467.177002,2733.74585
2997.9035,2799.4585,2471.72733,2593.790416,2498.7348,2664.24297,2594.041025,2576.659967,2542.346738,2518.232666,2724.705322
3081.702,2796.4402,2555.481019,2638.334821,2591.64772,2613.84571,2597.810559,2576.659967,2569.561436,2512.302734,2780.626221
2883.9124,2654.5338,2586.119546,2528.456734,2484.2699,2569.15597,2591.47011,2522.993929,2619.682984,2475.35498,2664.317139
2728.8987,2505.2255,2515.235968,2576.772123,2485.42768,2608.61089,2583.046388,2556.23738,2597.289116,2508.557617,2765.231445
2787.0337,2505.2255,2577.270431,2678.61443,2470.61352,2532.05427,2534.171149,2585.004827,2614.393791,2563.414795,2759.228516
2606.6522,2413.61,2667.732603,2622.163602,2465.48162,2554.1793,2588.955927,2629.281252,2602.817765,2543.253906,2776.883789
2429.3461,2621.84,2518.324093,2759.098857,2418.0706,2632.16657,2529.740051,2592.784542,2600.055276,2635.621094,2755.973877
2526.1673,2700.3647,2567.821821,2721.634156,2554.04358,2691.77661,2718.509713,2699.634394,2681.888502,2584.6875,2816.58374
2263.3767,2413.61,2647.186045,2688.796419,2661.49396,2563.25434,2541.319465,2592.636023,2528.278163,2609.053711,2799.951172
2386.9987,2594.3436,2637.857335,2499.110331,2546.40564,2554.79086,2589.762458,2588.980985,2589.701127,2579.766846,2612.604736
2177.9881,2505.2255,2525.63207,2630.389176,2504.712,2496.70951,2547.780387,2579.599978,2619.637344,2596.96875,2656.493164
1995.0828,2455.87,2565.391678,2417.315685,2502.20768,2486.88671,2473.471868,2482.397779,2474.883893,2480.050049,2434.436768
