0,1,2,3,4,5,6,7,8,9,10,,,,,,,,
4.8097,6.1166,0.17109248,1.320905098,1.20272,1.75697,2.294053,2.557737952,1.081493369,0.394207776,0,,,,,,,,
7.9941,6.1166,0.722708057,3.272903908,1.9855,2.02428,3.011176,3.163522857,1.97326929,2.401743889,1.33635664,,,,,,,,
7.8035,6.1166,1.044220232,3.474603175,1.79644,5.22251,2.923002,3.163522857,3.349737573,0.384301394,0,,,,,,,,
8.8758,6.1166,0.659291243,2.196106923,1.68476,2.32529,2.866071,1.967967961,1.608490383,0.650279343,0,,,,,,,,
5.5098,6.1166,0,2.28311432,2.86072,2.29927,2.920499,1.967512346,1.518421736,1.272005796,1.618779421,,,,,,,,
4.54,1.6354,4.611850903,2.709447591,1.45508,1.6253,2.198445,3.163522857,0.511894782,7.008324146,5.404192924,,,,,,,,
4.9868,0.9523,0,1.216130388,1.14956,2.19669,3.002412,2.373742169,0.91347606,5.044661045,6.937746048,,,,,,,,
12.6518,1.6354,2.506602466,2.844505878,2.31254,2.55761,3.000662,3.19152381,1.327226136,14.35640907,11.85567284,,,,,,,,
18.1183,0.25,2.349720972,4.850370071,3.46492,3.66193,2.674681,5.138806818,2.324652366,4.275260448,5.3565979,,,,,,,,
4.979,1.1772,0.318010735,1.033099422,0.82958,3.19525,1.453529,2.304288462,0,2.233142138,4.506072998,,,,,,,,
6.184,6.1166,1.861680356,4.986051069,4.60764,6.74985,2.629436,1.967512346,1.219195779,1.534413099,2.337726593,,,,,,,,
5.4025,0.934,1.492249741,1.279758327,4.62118,3.193,3.107863,1.117591111,0.033545218,2.20985508,2.127371788,,,,,,,,
6.5268,1.6354,3.779524992,3.020191078,1.31262,2.30377,1.613954,3.133919626,0.929086057,5.76360321,3.213903427,,,,,,,,
5.4262,0.9523,2.653362573,2.08820948,1.04442,0.93678,1.781802,2.373742169,0.616602682,1.115749478,0,,,,,,,,
8.1824,0.5946,3.88548326,2.258595497,1.40328,0.79535,1.237345,1.927224121,0.792376617,1.421259165,0,,,,,,,,
6.9131,0.8966,2.976930655,4.634726859,15.65322,1.06567,1.097142,2.373742169,2.242987257,2.813238859,2.232759237,,,,,,,,
53.2827,2.5423,2.900229521,2.100237982,1.97866,1.9362,2.117286,2.304288462,1.215726825,0.823234975,1.332244873,,,,,,,,
6.4989,3.33,0,0.639158973,0.802,1.57711,1.888359,1.985811818,0.873096845,0.755488873,0.383834362,,,,,,,,
10.0136,0.23,3.202289656,3.06893973,1.3256,0.4034,1.487372,1.927224121,1.328942906,1.340658665,0,,,,,,,,
7.557,12.9381,5.704960669,2.924347262,1.39634,2.55549,9.941033,2.513122581,3.407633469,20.26463509,10.47593689,,,,,,,,
10.1175,0.6966,3.071818655,1.059534722,1.09678,0.70005,0.899733,1.927224121,0.485911062,1.365999222,0,,,,,,,,
7.7282,0.24,4.082850301,6.472581781,2.07564,3.20555,3.685224,5.765843137,3.498328828,3.662185192,4.306069374,,,,,,,,
7.4476,0.28,1.279384326,1.825260212,1.60944,1.21716,1.916871,1.927224121,1.792633097,3.840918064,8.968871117,,,,,,,,
10.667,6.1166,1.364309087,1.938656047,1.60944,2.78391,2.723186,1.597308772,1.424668329,2.009206533,3.559733152,,,,,,,,
7.7063,0.2978,1.228461099,1.275838246,1.8854,2.60718,2.290677,1.985811818,1.797549572,0.958816051,0.946994603,,,,,,,,
8.1812,0.6069,1.202841339,1.824785231,1.3961,2.08873,2.540418,1.470450562,1.410846177,1.811063528,6.084579468,,,,,,,,
17.917,0.6069,1.085338365,2.769297426,1.65944,2.15742,2.493104,1.985811818,2.37860413,2.40839839,3.07513237,,,,,,,,
8.2498,0.6069,0.303619388,2.37949946,1.67378,1.15381,2.276462,1.985811818,2.049230024,4.51997757,6.806064129,,,,,,,,
13.6375,0.6069,0.623708243,1.775420699,2.4126,1.66523,1.848077,1.967967961,1.555456098,2.228956223,3.447943211,,,,,,,,
13.3161,0.24,1.39546398,3.857269292,1.85714,0.32182,1.008447,1.927224121,1.294369496,1.012909651,0.174670547,,,,,,,,
37.6441,0.24,2.196318704,2.863515242,1.26752,1.90603,1.494227,2.373742169,1.658915056,0.446317106,0,,,,,,,,
12.3522,0.8212,1.166467606,2.972931112,2.27644,0.99467,1.61031,1.927224121,2.049006641,0.653773367,1.234890699,,,,,,,,
