0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
1937.48,1994.525513,105.77,166.111084,31985.0702,33866.51172,23906.0435,25001.74023,10474.3371,11075.66016,0.28,1.979242563,329.3819,438.852417,68738.3627,70204.54688
1778.98,2092.271729,77.1952,232.0082855,26582.0286,28777.94727,19136.862,21370.73828,9846.95,11022.31738,0.72,3.486760855,310.6896,400.7089844,57733.4254,63308.52344
1939.5559,2131.783447,169.5037,251.6132813,32955.3789,25449.73633,23189.0703,19941.55273,10838.5438,10541.49023,0.5541,3.954482079,394.5009,402.3416443,69487.1076,58420.24219
1967.8069,1997.38147,168.4012,161.8984375,30689.309,33313.67969,23539.6929,25514.67578,11553.4169,12172.89648,0.9523,2.12589407,370.1268,344.1368713,68289.706,73140.85938
1871.5569,1948.131226,95.0758,117.9478149,29882.5961,32290.68359,20643.3671,24683.66602,9817.8897,11258.99414,4.6464,6.102796078,294.3266,414.0577393,62609.4586,67628.73438
1931.0411,1919.402344,95.7866,65.23440552,34480.6098,35580.36719,23088.1955,26550.38281,10764.7227,11328.73242,6.1166,2.387779951,313.6621,413.4188538,70680.1344,72972.35938
2076.91,1972.843506,129.4405,127.436264,35665.1861,34985.03516,23121.2536,26288.89844,10903.1313,11153.29199,0.3,2.322065115,291.9894,406.555603,72188.2109,70994.30469
2208.06,2538.8125,123.02,355.3276367,36955.1904,37502.76563,23640.0088,25959.42383,12420.8473,15244.86719,0.23,0,288.0081,383.9784851,75635.3646,82089.25781
2183.6122,2492.109375,139.9785,343.0505676,35649.948,35096.80469,23043.8927,23395.9043,12808.9305,14745.78516,0.23,1.169408083,305.657,354.1698914,74132.2489,75994.82813
2352.3083,2543.785645,153.8646,327.5395813,38438.0861,36524.53906,24581.6735,24813.92773,12843.2668,14404.8916,0.3,2.250427008,350.7253,412.1357727,78720.2246,79735.85938
2413.61,2622.679688,171.0547,401.877594,36940.8505,35853.69141,23061.9894,24143.10742,15440.5694,16288.29688,3.33,0,309.9734,373.9553223,78341.3774,79178.20313
2423.6717,2490.31665,173.96,290.5669861,38593.2621,32245.61719,24151.9885,21533.71289,14947.3495,15132.55273,8.56,2.417177916,301.1,387.7795715,80599.8918,73179.04688
2513.1024,2745.116455,184.49,457.4463806,42558.681,40217.00391,27600.5378,27256.78125,15495.0318,17603.54297,0.76,0,317.679,323.8369446,88670.282,89689.15625
2585.1873,2829.786377,211.25,455.0841064,46105.8552,44392.37109,29725.0081,32149.00586,16720.1071,17839.48828,0.25,3.970546484,326.4407,424.334198,95674.0984,97765.75781
2594.3436,2758.66333,215.33,339.2960205,44186.1206,43211.73438,28801.7618,29158.46484,17287.2183,16778.89844,0.3,6.090144157,325.111,465.8719177,93410.1853,94406.1875
2639.38,2511.66748,239.02,206.3586731,45106.4814,39973.36719,28892.0723,28039.13281,15651.2787,14143.38672,0.2617,6.033117294,321.8718,520.4691772,92850.3659,85191.74219
2542.21,2518.859863,254.8076,265.8330994,41822.0511,38983.50391,26739.594,28260.23242,15258.1924,14151.99805,0.29,3.054899454,315.9826,468.7660522,86933.1277,83769.9375
2445.03,2362.857178,277.42,216.9790497,35282.4558,31533.03516,23315.9146,22691.22852,15904.4676,13844.02344,0.27,3.676635742,297.9956,519.9379883,77523.5536,71283.36719
2487.3132,2370.080566,315.4682,222.1332703,32521.6436,31532.95898,22038.922,23621.56445,15849.1317,13425.68262,0.23,1.899969101,304.9394,541.8294678,73517.6481,71816.00781
2591.57,2374.607178,288.05,244.2142334,30178.5202,27932.4082,21138.9897,20713.55859,15055.396,13670.79395,0.41,3.182985783,301.7015,471.545929,69554.6374,65831.0625
2367.5039,2367.380371,287.91,314.5418091,27299.3312,21885.91016,19399.2163,17790.86133,14192.8111,13075.26074,0.34,3.321411133,304.3679,348.9450073,63851.4804,54672.45313
2501.7797,2587.189697,294.5,396.9734497,31311.5296,34776.54688,21525.3989,25010.37695,15304.1706,15152.44727,0.4596,0,316.9436,414.9214172,71254.782,77759.99219
2577.29,2446.961182,319.38,314.2502136,33057.5854,31940.88281,22079.9542,22908.35156,15071.156,13615.85938,0.2978,0.022543339,310.1393,407.2807617,73415.8027,71733.03906
2448.97,2484.657959,333.0234,344.9721375,30460.0456,24903.29883,21283.4991,17951.20313,13002.2059,13129.00977,0.59,2.104507208,309.5111,294.5845337,67837.8451,57804.63281
2565.98,2569.878662,315.24,431.7701416,31396.5052,29939.1582,21860.882,23567.98828,15325.5224,15431.89551,0.95,3.85402441,327.4329,347.4325256,71792.5125,72166.00781
2593.4739,2587.470947,375.9356,366.0433655,34549.9291,34053.00781,22463.2596,24958.38672,16071.0973,16138.30566,3.19,6.143908978,302.72,402.9942017,76359.6055,77680.72656
2680.18,2603.559082,519.4177,376.5592041,37078.634,36091.32422,24241.8289,25107.53125,16281.1794,15693.68945,6.56,4.270031452,318.7194,381.5761108,81126.5194,80047.73438
2939.9781,2647.454102,630.6541,292.3623352,40126.7575,40148.82422,25768.1223,29087.92773,17599.5575,16083.98828,0.39,6.562523365,339.1832,501.8864136,87404.6427,88523.35156
2796.4402,2670.175537,578.7128,374.1778259,37845.1074,37871.94922,24897.3993,25732.59375,16570.4501,15777.49414,0.3806,1.745348573,333.1468,453.4645996,83021.6372,82010.5625
2870.5879,2597.75293,615.7323,422.5701599,37832.2634,37289.6875,25429.2861,26798.04297,15544.9584,14846.93555,0.8966,4.093666077,353.5194,420.2735901,82647.2441,81101.29688
2713.4146,2502.339844,617.2308,363.7748718,34401.5805,32391.49414,24383.3657,25547.74609,14622.2655,13734.09961,0.37,7.973962307,326.9345,498.1230774,77065.1616,74117.79688
2807.1222,2489.958496,541.6247,383.0050354,30455.8963,30082.80273,21248.0737,21784.28125,15696.1025,14934.56445,0.43,0.112778373,336.9606,419.0387268,71086.21,70496.96094
2787.0217,2508.21582,479.3802,414.3093567,28892.6453,28418.8457,20353.41,20235.4082,15141.2942,14678.33398,0.45,1.891715884,311.0381,358.8217773,67965.2395,67475.71875
2636.5774,2540.557373,521.5442,422.5977783,27907.4086,27339.13477,20027.1082,20833.15625,13918.7106,14107.20605,0.6895,4.316262245,298.9,359.0813293,65310.9385,66075.69531
2703.12,2588.641602,554.53,372.3153076,30635.486,33569.66797,21309.3338,22745.03711,16055.3547,15165.90527,0.6966,1.174728274,296.1637,374.8656006,71554.6848,77218.375
2621.84,2653.631104,556.0228,504.4210205,28615.2574,30103.57227,20181.2691,20379.93555,15198.5478,15543.24512,0.5996,4.911716938,295.5203,325.5562744,67469.057,70216.8125
2572.28,2503.9104,492.0283,469.3426819,27701.8123,23167.7207,20696.8975,17377.95117,14731.942,13687.98828,3.1725,3.860100746,321.3751,269.9353943,66519.5077,57787.44141
2588.85,2554.916992,572.26,475.4406433,28885.5728,27920.17773,21612.3591,21346.80664,14902.2541,14368.42773,0.4934,0.881964207,317.0442,342.1536255,68878.8336,67166.8125
2580.42,2603.260986,575.29,526.2411499,27077.4816,27096.58203,19552.3754,18958.0332,15422.7594,15726.52148,0.43,0,294.0522,276.5909729,65502.8086,66984.75781
2674.7617,2480.173584,591.87,428.0569153,27069.4695,26831.25781,19491.97,17349.33008,14904.0104,14523.56934,0.5,2.636253119,269.2118,301.1978455,65001.7934,63779.32813
2572.84,2567.003662,572.28,472.5090942,27320.6404,29892.94141,19402.5886,20171.12695,14654.4662,15257.22461,0.4745,1.736934781,272.062,282.552124,64795.3517,70518.28906
2527.11,2516.895264,580.6346,492.4120178,25539.823,26380.31641,18978.8728,18487.97266,14683.8067,14638.60742,4.0348,2.370529652,268.2995,291.6784363,62582.5814,63879.47266
2455.87,2457.075195,525.31,358.860321,24953.2891,25853.61914,18838.739,20834.44727,14820.1682,13849.33301,6.36,5.325344563,288.6357,398.5812378,61888.372,63805.51563
2554.5082,2471.287354,559.9485,402.215271,25900.0278,24001.9707,20074.515,19184.28516,15051.83,13318.6875,2.12,3.449804068,298.2794,369.4538574,64441.2289,60321.99609
2623.536,2458.583008,548.17,362.1965027,29527.2755,27378.43359,21903.9752,20052.03711,14232.5925,13483.30273,2.39,0.779373944,329.3281,361.3660583,69167.2673,64975.12891
2531.91,2586.292725,578.97,436.9163818,29763.5596,32998.80859,21067.6591,23976.54102,16482.381,16398.41211,3.82,3.803842545,313.3089,330.5675964,70741.6086,77210.42188
2595.9318,2557.03418,578.6465,429.5816956,28269.6106,30166.3125,20090.8937,21251.98438,16858.8403,15438.56641,0.6532,0,284.7218,349.1249695,68679.2979,71571.10156
2616.9403,2596.429932,588.5969,479.1986694,27053.7985,30934.07813,19549.7373,21548.82031,16164.9205,15326.89258,0.4893,1.776772857,302.4919,361.9360352,66276.9747,72220.3125
2512.8997,2447.755371,625.4585,344.5040283,26989.2935,26611.80469,19672.0654,18620.24219,15460.0911,14238.01855,0.3,3.334571838,305.6015,369.1036682,65565.7097,64839.51172
