date,sum,day,night,sum_c,day_c,night_c
2016/2/11,50918.3072,36225.2793,15020.1264,3288.7099,2469.8801,818.83
2016/2/12,49592.1086,35567.4467,14674.3138,5303.089,3886.6995,1416.3995
2016/2/13,56163.5318,40921.4712,15777.7121,4162.9522,3049.6401,1113.3121
2016/2/14,76176.1613,54661.1017,20622.906,834.8373,538.0873,296.77
2016/2/15,87381.54,58399.322,26645.6573,5201.2283,3818.6782,1382.5499
2016/2/16,86130.2345,57219.2398,26643.0004,3855.58,1884.5399,1971.0401
2016/2/17,83743.9401,55031.0541,25940.5152,672.6309,457.9106,214.7505
2016/2/18,79627.6114,51392.9499,25050.3942,3282.3192,2165.3955,1116.9239
2016/2/19,82580.8286,55150.7212,24439.6308,1234.6098,996.2899,238.3202
2016/2/20,84786.3998,56568.5143,25996.5462,1627.21,1196.6499,430.5601
2016/2/21,83019.4446,57725.0214,23961.143,2220.4805,1433.8081,786.6324
2016/2/22,87442.958,59980.191,24809.5953,1691.3897,1373.9982,317.382
2016/2/23,92054.8088,59599.2124,27735.9449,1248.5457,1020.1842,228.3614
2016/2/24,92118.7565,58526.3228,28801.5479,1388.4797,976.01,412.4898
2016/2/25,91070.0543,58345.3346,28442.1933,2303.4489,1454.9798,848.4491
2016/2/26,88022.4213,56430.6203,27722.8178,1447.4096,996.4921,450.9075
2016/2/27,81769.6747,53299.3649,25518.6791,0,0,0
2016/2/28,75531.4559,51465.9449,21825.419,4586.6801,3143.2299,1443.45
2016/2/29,82389.6478,55083.8156,24634.1505,1755.9784,1058.3853,697.6034
2016/3/1,85782.0456,55547.3579,26746.7005,789.4666,310.9068,478.54
2016/3/2,83933.4388,53838.9367,26165.639,1797.6501,1248.79,548.8601
2016/3/3,76135.7394,50545.3317,23241.1723,2759.1699,1651.5499,1107.6399
2016/3/4,70606.6332,46999.5335,21697.7394,2156.1823,1436.6608,719.5515
2016/3/5,68021.5147,46708.9764,19658.358,1794.7899,1058.1203,736.6798
